2021-03-08 15:38:19 [main] DEBUG logging:38 - Logging Provider: org.jboss.logging.Log4j2LoggerProvider
2021-03-08 15:38:19 [main] DEBUG LogHelper:102 - PersistenceUnitInfo [
	name: default
	persistence provider classname: null
	classloader: jdk.internal.loader.ClassLoaders$AppClassLoader@5451c3a8
	excludeUnlistedClasses: true
	JTA datasource: null
	Non JTA datasource: HikariDataSource (null)
	Transaction type: RESOURCE_LOCAL
	PU root URL: file:/D:/AU-Project-Team-2/Backend/target/test-classes/
	Shared Cache Mode: UNSPECIFIED
	Validation Mode: AUTO
	Jar files URLs []
	Managed classes names [
		com.au.discussionforum.model.Answer
		com.au.discussionforum.model.QuesKeywords
		com.au.discussionforum.model.Question
		com.au.discussionforum.model.Topic
		com.au.discussionforum.model.User
		com.au.discussionforum.model.UserTopic]
	Mapping files names []
	Properties []
2021-03-08 15:38:19 [main] DEBUG IntegratorServiceImpl:46 - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
2021-03-08 15:38:19 [main] DEBUG IntegratorServiceImpl:46 - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
2021-03-08 15:38:19 [main] DEBUG IntegratorServiceImpl:46 - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
2021-03-08 15:38:19 [main] INFO  Version:44 - HHH000412: Hibernate ORM core version 5.4.28.Final
2021-03-08 15:38:19 [main] DEBUG Environment:199 - HHH000206: hibernate.properties not found
2021-03-08 15:38:19 [main] DEBUG ServiceBinding:68 - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
2021-03-08 15:38:19 [main] DEBUG RegionFactoryInitiator:118 - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
2021-03-08 15:38:19 [main] DEBUG RegionFactoryInitiator:49 - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
2021-03-08 15:38:19 [main] INFO  Version:56 - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2021-03-08 15:38:20 [main] DEBUG BasicTypeRegistry:157 - Adding type registration boolean -> org.hibernate.type.BooleanType@4b3e23cb
2021-03-08 15:38:20 [main] DEBUG BasicTypeRegistry:157 - Adding type registration boolean -> org.hibernate.type.BooleanType@4b3e23cb
2021-03-08 15:38:20 [main] DEBUG BasicTypeRegistry:157 - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@4b3e23cb
2021-03-08 15:38:20 [main] DEBUG BasicTypeRegistry:157 - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@7f0e2405
2021-03-08 15:38:20 [main] DEBUG BasicTypeRegistry:157 - Adding type registration true_false -> org.hibernate.type.TrueFalseType@10ab0d62
2021-03-08 15:38:20 [main] DEBUG BasicTypeRegistry:157 - Adding type registration yes_no -> org.hibernate.type.YesNoType@375d73bb
2021-03-08 15:38:20 [main] DEBUG BasicTypeRegistry:157 - Adding type registration byte -> org.hibernate.type.ByteType@35911646
2021-03-08 15:38:20 [main] DEBUG BasicTypeRegistry:157 - Adding type registration byte -> org.hibernate.type.ByteType@35911646
2021-03-08 15:38:20 [main] DEBUG BasicTypeRegistry:157 - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@35911646
2021-03-08 15:38:20 [main] DEBUG BasicTypeRegistry:157 - Adding type registration character -> org.hibernate.type.CharacterType@31844aaf
2021-03-08 15:38:20 [main] DEBUG BasicTypeRegistry:157 - Adding type registration char -> org.hibernate.type.CharacterType@31844aaf
2021-03-08 15:38:20 [main] DEBUG BasicTypeRegistry:157 - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@31844aaf
2021-03-08 15:38:20 [main] DEBUG BasicTypeRegistry:157 - Adding type registration short -> org.hibernate.type.ShortType@270cddd2
2021-03-08 15:38:20 [main] DEBUG BasicTypeRegistry:157 - Adding type registration short -> org.hibernate.type.ShortType@270cddd2
2021-03-08 15:38:20 [main] DEBUG BasicTypeRegistry:157 - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@270cddd2
2021-03-08 15:38:20 [main] DEBUG BasicTypeRegistry:157 - Adding type registration integer -> org.hibernate.type.IntegerType@fdd1e25
2021-03-08 15:38:20 [main] DEBUG BasicTypeRegistry:157 - Adding type registration int -> org.hibernate.type.IntegerType@fdd1e25
2021-03-08 15:38:20 [main] DEBUG BasicTypeRegistry:157 - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@fdd1e25
2021-03-08 15:38:20 [main] DEBUG BasicTypeRegistry:157 - Adding type registration long -> org.hibernate.type.LongType@4269ff03
2021-03-08 15:38:20 [main] DEBUG BasicTypeRegistry:157 - Adding type registration long -> org.hibernate.type.LongType@4269ff03
2021-03-08 15:38:20 [main] DEBUG BasicTypeRegistry:157 - Adding type registration java.lang.Long -> org.hibernate.type.LongType@4269ff03
2021-03-08 15:38:20 [main] DEBUG BasicTypeRegistry:157 - Adding type registration float -> org.hibernate.type.FloatType@7f1e7f81
2021-03-08 15:38:20 [main] DEBUG BasicTypeRegistry:157 - Adding type registration float -> org.hibernate.type.FloatType@7f1e7f81
2021-03-08 15:38:20 [main] DEBUG BasicTypeRegistry:157 - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@7f1e7f81
2021-03-08 15:38:20 [main] DEBUG BasicTypeRegistry:157 - Adding type registration double -> org.hibernate.type.DoubleType@12a7df1f
